qdate,bid_1,ave_1,ask_1,dur_1,crspid_1,bid_3,ave_3,ask_3,dur_3,crspid_3
19730531,6.822,6.527,6.231,30,19730630.400000,7.078,7.047,7.016,91,19730830.400000
19730629,7.630,7.436,7.242,32,19730731.400000,7.697,7.625,7.552,90,19730927.400000
19730731,8.557,8.312,8.067,30,19730830.400000,8.528,8.486,8.445,93,19731101.400000
19730831,8.724,8.581,8.438,34,19731004.400000,8.877,8.825,8.773,90,19731129.400000
19730928,7.590,7.335,7.080,34,19731101.400000,7.139,7.098,7.057,90,19731227.400000
19731031,7.163,6.928,6.693,36,19731206.400000,7.533,7.492,7.451,92,19740131.400000
19731130,7.672,7.447,7.223,34,19740103.400000,7.470,7.428,7.387,90,19740228.400000
19731231,7.680,7.364,7.047,31,19740131.400000,7.638,7.597,7.556,94,19740404.400000
19740131,7.785,7.550,7.316,35,19740307.400000,7.657,7.625,7.594,91,19740502.400000
19740228,7.734,7.377,7.019,35,19740404.400000,7.636,7.594,7.553,91,19740530.400000
19740329,8.724,8.500,8.275,34,19740502.400000,8.483,8.447,8.411,90,19740627.400000
19740430,9.241,8.771,8.302,30,19740530.400000,9.129,9.087,9.046,93,19740801.400000
19740531,8.140,7.834,7.528,32,19740702.400000,8.276,8.235,8.193,90,19740829.400000
19740628,8.048,7.681,7.313,32,19740730.400000,7.511,7.470,7.428,90,19740926.400000
19740731,8.052,7.715,7.377,36,19740905.400000,7.854,7.812,7.771,92,19741031.400000
19740830,9.542,9.215,8.888,34,19741003.400000,9.158,9.106,9.054,91,19741129.400000
19740930,6.701,6.170,5.641,31,19741031.400000,6.678,6.472,6.265,94,19750102.400000
19741031,7.183,6.672,6.162,35,19741205.400000,7.987,7.946,7.905,91,19750130.400000
19741129,7.805,7.498,7.192,34,19750102.400000,7.645,7.604,7.563,90,19750227.400000
19741231,6.985,6.537,6.088,30,19750130.400000,7.224,7.183,7.142,93,19750403.400000
19750131,5.876,5.540,5.204,34,19750306.400000,5.800,5.759,5.718,90,19750501.400000
19750228,5.102,4.756,4.409,34,19750403.400000,5.512,5.471,5.430,90,19750529.400000
19750331,5.467,5.274,5.080,31,19750501.400000,5.739,5.637,5.534,92,19750701.400000
19750430,5.397,5.214,5.031,34,19750603.400000,5.616,5.575,5.534,92,19750731.400000
19750530,5.040,4.856,4.673,31,19750630.400000,5.307,5.266,5.225,90,19750828.400000
19750630,5.906,5.651,5.396,31,19750731.400000,6.162,6.080,5.998,94,19751002.400000
19750731,6.203,6.030,5.856,35,19750904.400000,6.387,6.346,6.305,91,19751030.400000
19750829,6.101,5.968,5.836,34,19751002.400000,6.501,6.470,6.439,91,19751128.400000
19750930,6.486,6.292,6.099,30,19751030.400000,6.729,6.698,6.667,94,19760102.400000
19751031,5.479,5.316,5.153,34,19751204.400000,5.801,5.719,5.637,92,19760131.400000
